date,country,location,entity,value
2020-03-29,GB,Hartlepool,parks,-0.64
2020-03-29,GB,Hartlepool,transit,-0.7
2020-03-29,GB,Hartlepool,workplace,-0.51
2020-03-29,GB,Hartlepool,residential,0.19
2020-03-29,GB,Herefordshire,retail_recr,-0.86
2020-03-29,GB,Herefordshire,grocery_pharm,-0.5
2020-03-29,GB,Herefordshire,parks,-0.42
2020-03-29,GB,Herefordshire,transit,-0.64
2020-03-29,GB,Herefordshire,workplace,-0.46
2020-03-29,GB,Herefordshire,residential,0.24
2020-03-29,GB,Hertfordshire,retail_recr,-0.85
2020-03-29,GB,Hertfordshire,grocery_pharm,-0.47
2020-03-29,GB,Hertfordshire,parks,-0.46
2020-03-29,GB,Hertfordshire,transit,-0.73
2020-03-29,GB,Hertfordshire,workplace,-0.56
2020-03-29,GB,Hertfordshire,residential,0.16
2020-03-29,GB,Highland Council,retail_recr,-0.83
2020-03-29,GB,Highland Council,grocery_pharm,-0.47
2020-03-29,GB,Highland Council,parks,-0.48
2020-03-29,GB,Highland Council,transit,-0.7
2020-03-29,GB,Highland Council,workplace,-0.53
2020-03-29,GB,Highland Council,residential,0.24
2020-03-29,GB,Inverclyde,retail_recr,-0.83
2020-03-29,GB,Inverclyde,grocery_pharm,-0.37
2020-03-29,GB,Inverclyde,parks,NA
2020-03-29,GB,Inverclyde,transit,-0.58
2020-03-29,GB,Inverclyde,workplace,-0.52
2020-03-29,GB,Inverclyde,residential,0.15
2020-03-29,GB,Isle of Anglesey,retail_recr,-0.84
2020-03-29,GB,Isle of Anglesey,grocery_pharm,-0.48
2020-03-29,GB,Isle of Anglesey,parks,-0.65
2020-03-29,GB,Isle of Anglesey,transit,-0.63
2020-03-29,GB,Isle of Anglesey,workplace,-0.46
2020-03-29,GB,Isle of Anglesey,residential,0.07
2020-03-29,GB,Isle of Wight,retail_recr,-0.88
2020-03-29,GB,Isle of Wight,grocery_pharm,-0.47
2020-03-29,GB,Isle of Wight,parks,-0.57
2020-03-29,GB,Isle of Wight,transit,-0.76
2020-03-29,GB,Isle of Wight,workplace,-0.54
2020-03-29,GB,Isle of Wight,residential,0.22
2020-03-29,GB,Kent,retail_recr,-0.86
2020-03-29,GB,Kent,grocery_pharm,-0.49
2020-03-29,GB,Kent,parks,-0.62
2020-03-29,GB,Kent,transit,-0.68
2020-03-29,GB,Kent,workplace,-0.53
2020-03-29,GB,Kent,residential,0.15
2020-03-29,GB,Kingston upon Hull,retail_recr,-0.82
2020-03-29,GB,Kingston upon Hull,grocery_pharm,-0.45
2020-03-29,GB,Kingston upon Hull,parks,-0.49
2020-03-29,GB,Kingston upon Hull,transit,-0.71
2020-03-29,GB,Kingston upon Hull,workplace,-0.51
2020-03-29,GB,Kingston upon Hull,residential,0.14
2020-03-29,GB,Lancashire,retail_recr,-0.84
2020-03-29,GB,Lancashire,grocery_pharm,-0.44
2020-03-29,GB,Lancashire,parks,-0.39
2020-03-29,GB,Lancashire,transit,-0.71
2020-03-29,GB,Lancashire,workplace,-0.52
2020-03-29,GB,Lancashire,residential,0.14
2020-03-29,GB,Leicester,retail_recr,-0.84
2020-03-29,GB,Leicester,grocery_pharm,-0.47
2020-03-29,GB,Leicester,parks,-0.45
2020-03-29,GB,Leicester,transit,-0.8
2020-03-29,GB,Leicester,workplace,-0.51
2020-03-29,GB,Leicester,residential,0.15
2020-03-29,GB,Leicestershire,retail_recr,-0.83
2020-03-29,GB,Leicestershire,grocery_pharm,-0.45
2020-03-29,GB,Leicestershire,parks,-0.54
2020-03-29,GB,Leicestershire,transit,-0.72
2020-03-29,GB,Leicestershire,workplace,-0.55
2020-03-29,GB,Leicestershire,residential,0.15
2020-03-29,GB,Lincolnshire,retail_recr,-0.84
2020-03-29,GB,Lincolnshire,grocery_pharm,-0.45
2020-03-29,GB,Lincolnshire,parks,-0.63
2020-03-29,GB,Lincolnshire,transit,-0.67
2020-03-29,GB,Lincolnshire,workplace,-0.47
2020-03-29,GB,Lincolnshire,residential,0.13
2020-03-29,GB,Lisburn and Castlereagh,retail_recr,-0.87
2020-03-29,GB,Lisburn and Castlereagh,grocery_pharm,-0.45
2020-03-29,GB,Lisburn and Castlereagh,parks,-0.79
2020-03-29,GB,Lisburn and Castlereagh,transit,-0.61
2020-03-29,GB,Lisburn and Castlereagh,workplace,-0.56
2020-03-29,GB,Lisburn and Castlereagh,residential,0.3
2020-03-29,GB,Luton,retail_recr,-0.79
2020-03-29,GB,Luton,grocery_pharm,-0.39
2020-03-29,GB,Luton,parks,-0.41
2020-03-29,GB,Luton,transit,-0.9
2020-03-29,GB,Luton,workplace,-0.49
2020-03-29,GB,Luton,residential,0.19
2020-03-29,GB,Medway,retail_recr,-0.85
2020-03-29,GB,Medway,grocery_pharm,-0.4
2020-03-29,GB,Medway,parks,-0.67
2020-03-29,GB,Medway,transit,-0.71
2020-03-29,GB,Medway,workplace,-0.51
2020-03-29,GB,Medway,residential,0.15
2020-03-29,GB,Merseyside,retail_recr,-0.83
2020-03-29,GB,Merseyside,grocery_pharm,-0.42
2020-03-29,GB,Merseyside,parks,-0.53
2020-03-29,GB,Merseyside,transit,-0.74
2020-03-29,GB,Merseyside,workplace,-0.54
2020-03-29,GB,Merseyside,residential,0.15
2020-03-29,GB,Merthyr Tydfil County Borough,retail_recr,-0.89
2020-03-29,GB,Merthyr Tydfil County Borough,grocery_pharm,-0.5
2020-03-29,GB,Merthyr Tydfil County Borough,parks,NA
2020-03-29,GB,Merthyr Tydfil County Borough,transit,-0.54
2020-03-29,GB,Merthyr Tydfil County Borough,workplace,-0.52
2020-03-29,GB,Merthyr Tydfil County Borough,residential,0.08
2020-03-29,GB,Mid and East Antrim,retail_recr,-0.81
2020-03-29,GB,Mid and East Antrim,grocery_pharm,-0.37
2020-03-29,GB,Mid and East Antrim,parks,-0.52
2020-03-29,GB,Mid and East Antrim,transit,-0.56
2020-03-29,GB,Mid and East Antrim,workplace,-0.56
2020-03-29,GB,Mid and East Antrim,residential,0.27
2020-03-29,GB,Mid Ulster,retail_recr,-0.81
2020-03-29,GB,Mid Ulster,grocery_pharm,-0.43
2020-03-29,GB,Mid Ulster,parks,NA
2020-03-29,GB,Mid Ulster,transit,-0.51
2020-03-29,GB,Mid Ulster,workplace,-0.42
2020-03-29,GB,Mid Ulster,residential,0.28
2020-03-29,GB,Middlesbrough,retail_recr,-0.84
2020-03-29,GB,Middlesbrough,grocery_pharm,-0.43
2020-03-29,GB,Middlesbrough,parks,-0.63
2020-03-29,GB,Middlesbrough,transit,-0.73
2020-03-29,GB,Middlesbrough,workplace,-0.51
2020-03-29,GB,Middlesbrough,residential,0.24
2020-03-29,GB,Midlothian,retail_recr,-0.9
2020-03-29,GB,Midlothian,grocery_pharm,-0.43
2020-03-29,GB,Midlothian,parks,-0.2
2020-03-29,GB,Midlothian,transit,-0.5
2020-03-29,GB,Midlothian,workplace,-0.53
2020-03-29,GB,Midlothian,residential,0.25
2020-03-29,GB,Milton Keynes,retail_recr,-0.85
2020-03-29,GB,Milton Keynes,grocery_pharm,-0.49
2020-03-29,GB,Milton Keynes,parks,-0.53
2020-03-29,GB,Milton Keynes,transit,-0.79
2020-03-29,GB,Milton Keynes,workplace,-0.55
2020-03-29,GB,Milton Keynes,residential,0.19
2020-03-29,GB,Monmouthshire,retail_recr,-0.85
2020-03-29,GB,Monmouthshire,grocery_pharm,-0.56
2020-03-29,GB,Monmouthshire,parks,-0.61
2020-03-29,GB,Monmouthshire,transit,-0.58
2020-03-29,GB,Monmouthshire,workplace,-0.47
2020-03-29,GB,Monmouthshire,residential,0.16
2020-03-29,GB,Moray,retail_recr,-0.88
